year,km_driven,fuel,transmission,seller_type,owner,seats,mileage,engine,max_power,nm,Ambassador,Ashok,Audi,BMW,Chevrolet,Daewoo,Datsun,Fiat,Force,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land,MG,Mahindra,Maruti,Mercedes-Benz,Mitsubishi,Nissan,Opel,Renault,Skoda,Tata,Toyota,Volkswagen,Volvo,selling_price
2013,115717,1,1,1,0,9.0,12.05,2179,120.0,290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500000
2008,110000,1,1,1,2,5.0,17.7,1399,68.0,156.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
2014,70000,1,1,1,2,7.0,15.05,2179,147.9,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,480000
2019,4000,3,1,1,0,5.0,21.21,1197,81.8,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,630000
2011,50000,3,1,1,0,5.0,20.36,1197,78.9,111.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
2016,70000,3,1,1,1,5.0,18.9,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000
2009,70000,3,1,1,2,5.0,20.36,1197,78.9,111.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000
2010,50000,3,1,1,2,5.0,18.5,1197,80.0,111.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000
2016,55000,1,1,1,0,5.0,26.59,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,550000
2020,5000,3,0,1,0,5.0,17.0,1198,108.5,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,950000
2013,100000,1,1,1,2,7.0,15.96,2523,62.1,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,430000
2014,23000,3,1,1,2,5.0,20.36,1197,78.9,111.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348000
2014,60000,3,1,1,2,5.0,22.74,796,47.3,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196000
2010,70000,3,1,1,2,5.0,18.9,1061,67.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150000
2009,60000,3,1,1,2,5.0,18.9,1061,67.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150000
2019,100000,1,1,1,0,7.0,14.1,2179,153.86,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1250000
2015,90000,1,1,1,4,7.0,20.77,1248,88.76,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,600000
2010,26432,3,1,0,0,4.0,25.4,624,37.48,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65000
2016,46702,3,1,0,0,8.0,16.8,796,34.2,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220000
2016,46706,3,1,0,0,8.0,16.8,796,34.2,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220000
2006,53523,3,1,0,0,5.0,16.84,1193,64.4,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110000
2012,56365,1,1,0,0,5.0,25.44,936,56.3,142.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
2011,49563,3,1,0,0,5.0,16.2,995,62.1,90.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
2004,56432,3,1,0,0,4.0,16.1,796,37.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65000
2002,52365,3,1,0,2,4.0,16.1,796,37.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60000
2007,53512,3,1,0,2,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120000
2013,40000,1,0,1,0,7.0,11.18,2696,184.0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000000
2010,46533,3,1,0,0,5.0,18.9,998,67.1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220000
2008,58632,3,1,0,2,5.0,14.0,796,35.0,59.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114999
2016,80000,1,0,1,2,7.0,16.0,2179,140.0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,850000
2016,70000,1,1,1,0,7.0,24.52,1248,88.5,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,750000
2017,90000,3,1,1,0,5.0,23.01,999,67.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,265000
2014,110000,3,1,1,2,5.0,14.09,1596,99.6,146.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000
2013,90000,1,1,1,0,7.0,17.21,1493,100.0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225000
2015,70000,1,1,1,0,7.0,15.4,2179,120.0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1125000
2009,80000,3,1,1,0,5.0,16.6,1197,85.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,270000
2007,78000,3,1,1,0,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130000
2017,45000,1,1,1,0,7.0,16.5,1493,70.0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,660000
2015,50000,3,1,1,2,5.0,23.95,998,67.05,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,240000
2017,58000,3,1,1,0,5.0,24.7,796,47.3,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,275000
2012,120000,1,1,1,0,8.0,12.8,2494,102.0,200.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,750000
2007,30000,3,1,1,2,5.0,14.7,1150,76.0,109.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
2017,162000,1,1,1,0,7.0,14.1,2179,147.94,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,850000
2016,50000,0,1,1,2,5.0,26.6,998,58.16,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300000
2018,25000,3,1,1,2,5.0,18.6,1197,81.83,114.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555000
2015,60000,1,1,1,0,7.0,15.4,1997,120.0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,825000
2010,70000,2,1,1,4,5.0,13.45,1086,62.1,96.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
2009,138000,1,1,1,2,5.0,19.3,1248,73.9,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,185000
2010,70000,3,1,1,2,5.0,20.36,1197,78.9,111.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000
2010,48000,3,1,1,2,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160000
2012,110000,1,0,1,0,7.0,11.4,2953,153.86,380.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
2014,88000,1,1,1,2,5.0,25.2,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,375000
2015,68000,1,1,1,0,7.0,12.99,2494,100.6,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,900000
2017,70000,3,1,1,0,5.0,18.9,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459999
2014,80000,1,1,1,0,5.0,20.45,1461,83.8,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,480000
2013,100000,1,1,1,4,5.0,22.9,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320000
2013,96000,1,1,1,2,5.0,22.9,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,370000
2002,30000,3,1,1,4,5.0,17.3,993,60.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75000
2016,60000,1,1,1,4,5.0,23.2,1248,73.94,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,400000
2014,65000,1,1,1,0,5.0,25.2,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,425000
2014,48000,3,1,1,0,5.0,23.1,998,67.04,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,325000
2016,65300,3,1,1,2,5.0,18.9,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
2018,40000,3,1,1,0,5.0,18.6,1197,81.83,114.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000
2012,60000,1,1,1,2,5.0,25.44,936,57.6,150.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
2012,70000,3,1,1,2,5.0,20.92,998,67.1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200000
2008,70000,3,1,1,4,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100000
2014,70000,1,1,1,2,5.0,24.0,1120,70.0,160.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
2006,150000,3,1,1,2,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85000
2019,10000,3,1,1,0,5.0,23.95,998,67.05,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399000
2014,56000,1,1,1,0,5.0,22.32,1582,126.3,259.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000
2017,30000,3,1,1,0,5.0,22.7,799,53.64,72.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000
2014,50000,3,1,1,2,5.0,18.9,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000
2010,120000,1,1,1,0,5.0,20.0,1399,68.0,160.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
2018,40000,0,1,1,0,5.0,26.6,998,58.16,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,390000
2017,27500,3,1,1,0,5.0,18.9,1197,81.86,113.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
2012,73000,1,1,1,0,7.0,20.77,1248,88.76,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,520000
2017,75000,1,1,1,0,5.0,26.59,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,650000
2018,5000,3,1,1,0,5.0,23.01,999,67.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,380000
2010,50000,2,1,1,0,5.0,26.2,998,58.2,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,275000
2015,70000,1,1,1,0,5.0,26.59,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,520000
2015,60000,1,1,1,0,5.0,26.59,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,610000
2004,110000,3,1,1,0,5.0,18.9,998,67.1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85000
2013,95000,1,1,1,0,5.0,20.46,1461,83.8,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,490000
2015,34000,3,1,1,2,5.0,21.1,814,55.2,74.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229999
2015,25000,3,1,1,0,5.0,18.9,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411000
2019,120000,0,1,1,2,5.0,21.94,1196,61.7,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,362000
2014,31000,1,1,1,0,5.0,23.59,1364,67.06,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,550000
2018,70000,0,1,1,0,5.0,26.6,998,58.16,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,459999
2011,47000,3,1,1,0,5.0,18.5,1197,85.8,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,190000
2019,5000,3,0,1,0,5.0,20.3,1086,68.0,99.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499000
2018,44000,3,1,1,0,7.0,15.37,1196,73.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,358000
2012,120000,1,1,1,2,5.0,23.59,1364,67.1,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,278000
2014,39395,1,1,1,0,5.0,21.2,1248,75.0,197.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000
2013,67000,1,1,1,2,5.0,20.4,1461,108.5,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,580000
2019,20000,3,0,1,0,5.0,17.4,1497,117.6,145.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300000
2018,40000,1,1,1,0,5.0,25.8,1498,98.6,200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825000
2004,120000,3,1,1,2,5.0,13.4,1794,125.0,157.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170000
2014,80000,1,1,1,2,7.0,12.55,2982,168.5,343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1700000
2018,7000,3,1,1,0,5.0,20.3,1086,68.0,99.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000
2018,15000,1,1,1,0,7.0,16.0,2179,140.0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1050000
2016,50000,3,1,1,0,5.0,18.6,1199,76.8,106.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000
2016,30000,1,1,1,0,7.0,15.4,2179,120.0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1250000
2012,120000,1,1,1,2,5.0,22.9,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320000
2012,64000,1,1,1,0,5.0,16.52,1991,123.7,305.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000
2013,120000,1,1,1,0,5.0,23.2,1248,73.94,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320000
2012,85000,1,1,1,0,5.0,21.43,1364,87.2,205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,600000
2012,50000,3,1,1,0,5.0,20.92,998,67.1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,275000
2009,59000,3,1,1,2,5.0,19.7,796,46.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,170000
2012,98000,1,1,1,0,5.0,25.44,936,57.6,150.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
2015,140000,1,1,1,2,5.0,20.45,1461,83.8,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,620000
2017,50000,3,1,1,0,5.0,18.9,1197,81.86,113.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530000
2015,40000,1,1,1,0,5.0,23.59,1364,67.04,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,550000
2014,90000,1,1,1,0,5.0,26.0,1498,98.6,200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000
2014,117000,1,1,1,4,7.0,15.1,2179,140.0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,649000
2014,90000,1,1,1,0,5.0,26.0,1498,98.6,200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000
2010,70000,3,1,1,0,5.0,16.0,995,63.0,90.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
2009,230000,1,1,1,2,9.0,13.58,2499,72.4,171.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305000
2010,155000,3,1,1,2,5.0,15.5,1586,103.3,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,285000
2015,60000,1,1,1,2,5.0,13.49,2179,138.03,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,600000
2016,110000,3,1,1,0,6.0,18.15,1198,82.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,426000
2010,120000,1,1,1,0,5.0,17.0,1405,71.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180000
2011,100000,1,1,1,2,5.0,22.32,1582,126.32,259.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000
2010,40000,3,1,1,2,5.0,18.6,1199,79.4,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
2012,110000,1,1,1,2,5.0,21.12,1248,88.8,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,300000
2011,92500,3,1,1,2,5.0,20.92,998,67.1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,190000
2017,20000,3,1,1,0,5.0,24.7,796,47.3,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,310000
2019,15000,3,1,1,0,5.0,25.17,799,53.3,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,380000
2019,14000,1,1,1,0,7.0,16.5,1493,70.0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,740000
2016,35000,3,1,1,0,5.0,22.7,799,53.64,72.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000
2017,32000,3,1,1,2,5.0,23.95,998,67.05,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320000
2013,90000,0,1,1,0,5.0,26.6,998,58.16,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211000
2018,35000,3,1,1,0,5.0,22.0,1197,81.8,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,650000
2017,32500,1,1,1,2,5.0,28.4,1248,74.02,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,651000
2019,14000,3,0,1,0,5.0,23.95,998,67.05,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380000
2014,70000,1,1,1,4,5.0,25.44,936,56.3,142.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
2019,20000,3,0,1,0,5.0,17.0,1591,121.3,151.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270000
2011,300000,2,1,1,0,5.0,26.2,998,58.2,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300000
2015,100000,1,1,1,0,5.0,25.2,1248,74.0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,405000
2015,64800,1,1,1,0,7.0,15.1,2179,140.0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,850000
2017,90000,1,1,1,0,7.0,16.5,1493,70.0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,680000
2014,80000,3,1,1,0,5.0,19.1,1197,82.0,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426999
2015,248000,1,1,1,0,5.0,24.8,1396,88.7,219.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525000
2014,60000,1,1,1,2,7.0,12.99,2494,100.6,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1019999
2005,120000,1,1,1,0,8.0,12.8,2494,102.0,200.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245000
